Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
bagalkote district,4033439,8239831523,1,2021,karnataka
vijayapura district,5145667,11170578518,1,2021,karnataka
koppal district,3042763,6139670045,1,2021,karnataka
bidar district,5209226,10925907352,1,2021,karnataka
bengaluru rural district,12387231,18735722157,1,2021,karnataka
raichur district,4719196,10717943676,1,2021,karnataka
chamarajanagara district,1380973,2890358123,1,2021,karnataka
dakshina kannada district,9626991,15430015647,1,2021,karnataka
hassan district,4852456,10472109759,1,2021,karnataka
dharwad district,11396406,16320416665,1,2021,karnataka
shivamogga district,6961180,12979261424,1,2021,karnataka
udupi district,2999356,4318595833,1,2021,karnataka
gadag district,2182687,3921903568,1,2021,karnataka
mysuru district,17372316,30853150363,2,2021,karnataka
chitradurga district,4896289,9780802178,2,2021,karnataka
kalaburagi district,8337112,17652070458,2,2021,karnataka
ramanagara district,6647943,12386904952,2,2021,karnataka
mandya district,6206906,13463242357,2,2021,karnataka
kodagu district,1492581,2767308187,2,2021,karnataka
chikkamagaluru district,3111459,6149407550,2,2021,karnataka
haveri district,3110220,6197739535,2,2021,karnataka
ballari district,11601049,23117810388,2,2021,karnataka
belagavi district,12215950,23772477631,2,2021,karnataka
kolar district,9352225,17435526727,2,2021,karnataka
uttara kannada district,2905076,5000306106,2,2021,karnataka
tumakuru district,10841529,21263359142,2,2021,karnataka
yadgir district,2452409,6281841238,2,2021,karnataka
bengaluru urban district,326804307,4.44422E+11,2,2021,karnataka
chikkaballapura district,6109863,12849313744,2,2021,karnataka
davanagere district,11241732,21560667430,2,2021,karnataka
bagalkote district,4997178,10550185655,2,2021,karnataka
vijayapura district,6396225,14538509045,2,2021,karnataka
koppal district,4159197,8437126899,2,2021,karnataka
bidar district,6915969,13527998469,2,2021,karnataka
bengaluru rural district,12594743,19987071189,2,2021,karnataka
raichur district,5962067,14265747345,2,2021,karnataka
chamarajanagara district,1805479,3528159373,2,2021,karnataka
dakshina kannada district,10734091,18919204048,2,2021,karnataka
hassan district,5982873,12792200404,2,2021,karnataka
dharwad district,11462786,18982715974,2,2021,karnataka
shivamogga district,8867928,17168519412,2,2021,karnataka
udupi district,3271925,5054042664,2,2021,karnataka
gadag district,2799619,5181344411,2,2021,karnataka
mysuru district,25045268,42793900021,3,2021,karnataka
chitradurga district,6231545,12308859087,3,2021,karnataka
kalaburagi district,10665776,20950668881,3,2021,karnataka
ramanagara district,8835685,15882834743,3,2021,karnataka
mandya district,7929522,16634412671,3,2021,karnataka
kodagu district,2090601,3866527644,3,2021,karnataka
chikkamagaluru district,4321253,8373702713,3,2021,karnataka
haveri district,4071322,7598806900,3,2021,karnataka
ballari district,15360429,28402193277,3,2021,karnataka
belagavi district,17022354,30762343874,3,2021,karnataka
kolar district,12345736,22985772794,3,2021,karnataka
uttara kannada district,3997228,6788107042,3,2021,karnataka
tumakuru district,14242057,27175810122,3,2021,karnataka
yadgir district,2968202,7164867020,3,2021,karnataka
bengaluru urban district,476485560,6.26123E+11,3,2021,karnataka
chikkaballapura district,7969287,16926839575,3,2021,karnataka
davanagere district,15967687,28564688330,3,2021,karnataka
bagalkote district,6681929,13216790982,3,2021,karnataka
vijayapura district,8525361,17965404017,3,2021,karnataka
koppal district,5371719,10331849992,3,2021,karnataka
bidar district,8687234,16065409115,3,2021,karnataka
bengaluru rural district,18220951,28063157056,3,2021,karnataka
raichur district,7622542,16847864116,3,2021,karnataka
chamarajanagara district,2245885,4612190943,3,2021,karnataka
dakshina kannada district,15180931,25279637809,3,2021,karnataka
hassan district,7941626,16403399916,3,2021,karnataka
dharwad district,17187010,26053988751,3,2021,karnataka
shivamogga district,12112810,22070915048,3,2021,karnataka
udupi district,4312053,6508822563,3,2021,karnataka
gadag district,3656976,6511775339,3,2021,karnataka
mysuru district,31839861,52946045331,4,2021,karnataka
chitradurga district,7474376,14560428980,4,2021,karnataka
kalaburagi district,13349587,26451488966,4,2021,karnataka
ramanagara district,10827530,18992856973,4,2021,karnataka
mandya district,9802476,20006664449,4,2021,karnataka
kodagu district,2826193,5100881378,4,2021,karnataka
chikkamagaluru district,5505712,10518135301,4,2021,karnataka
haveri district,4957707,9220800926,4,2021,karnataka
ballari district,18819499,34087192110,4,2021,karnataka
belagavi district,22398086,39314016545,4,2021,karnataka
kolar district,14712839,26179750345,4,2021,karnataka
uttara kannada district,5249512,9102945421,4,2021,karnataka
tumakuru district,17549961,32086008652,4,2021,karnataka
yadgir district,3619421,8475580979,4,2021,karnataka
bengaluru urban district,584958847,7.55926E+11,4,2021,karnataka
chikkaballapura district,9562085,19411029583,4,2021,karnataka
davanagere district,19885521,34700043234,4,2021,karnataka
bagalkote district,8508880,16264812662,4,2021,karnataka
vijayapura district,10780905,21912610698,4,2021,karnataka
koppal district,6635768,12492370833,4,2021,karnataka
bidar district,10187097,19817202480,4,2021,karnataka
bengaluru rural district,22522389,33858680418,4,2021,karnataka
raichur district,9278851,19356588627,4,2021,karnataka
chamarajanagara district,2746927,5552756930,4,2021,karnataka
dakshina kannada district,19368239,31520554625,4,2021,karnataka
hassan district,10464484,20595035690,4,2021,karnataka
dharwad district,21979264,32561017320,4,2021,karnataka
shivamogga district,15695558,27830702802,4,2021,karnataka
udupi district,5829250,8949815675,4,2021,karnataka
gadag district,4388613,7679264207,4,2021,karnataka
mysuru district,37083502,61822430174,1,2022,karnataka
chitradurga district,8840295,17387118905,1,2022,karnataka
kalaburagi district,16255757,31752677807,1,2022,karnataka
ramanagara district,12677561,22088643584,1,2022,karnataka
mandya district,11788401,24060082946,1,2022,karnataka
kodagu district,3432505,6646574029,1,2022,karnataka
chikkamagaluru district,6600446,12915229703,1,2022,karnataka
haveri district,6004637,11265090072,1,2022,karnataka
ballari district,21654672,38400067164,1,2022,karnataka
belagavi district,26878240,46658421651,1,2022,karnataka
kolar district,16843681,29992517347,1,2022,karnataka
uttara kannada district,6073557,10544067404,1,2022,karnataka
tumakuru district,20649123,37948656149,1,2022,karnataka
yadgir district,4406744,10462830367,1,2022,karnataka
bengaluru urban district,648380838,8.37939E+11,1,2022,karnataka
chikkaballapura district,11172675,22098064889,1,2022,karnataka
davanagere district,22581033,39050377361,1,2022,karnataka
bagalkote district,10124765,18494582236,1,2022,karnataka
vijayapura district,12863787,24932106999,1,2022,karnataka
koppal district,7931539,14483139066,1,2022,karnataka
bidar district,12375594,22960981363,1,2022,karnataka
bengaluru rural district,25383239,38366097408,1,2022,karnataka
raichur district,11003927,23404274257,1,2022,karnataka
chamarajanagara district,3366450,6913976351,1,2022,karnataka
dakshina kannada district,23170221,37851830234,1,2022,karnataka
hassan district,12843322,25671185335,1,2022,karnataka
dharwad district,25761398,37328868895,1,2022,karnataka
shivamogga district,19949316,36172162299,1,2022,karnataka
udupi district,6634616,10288136701,1,2022,karnataka
gadag district,5123566,8750528457,1,2022,karnataka
mysuru district,44272976,71755017847,2,2022,karnataka
chitradurga district,10700572,20208472585,2,2022,karnataka
kalaburagi district,19784596,37138279677,2,2022,karnataka
ramanagara district,15245758,26816373100,2,2022,karnataka
mandya district,14343600,28867594359,2,2022,karnataka
kodagu district,4177322,7565443848,2,2022,karnataka
chikkamagaluru district,8024667,15036115691,2,2022,karnataka
haveri district,7254524,13257194848,2,2022,karnataka
ballari district,25715246,43733106040,2,2022,karnataka
belagavi district,32214940,54330716393,2,2022,karnataka
kolar district,19566690,35399778574,2,2022,karnataka
uttara kannada district,7039036,11973278366,2,2022,karnataka
tumakuru district,24528653,44297419510,2,2022,karnataka
yadgir district,5520410,12375236868,2,2022,karnataka
bengaluru urban district,786978117,1.01393E+12,2,2022,karnataka
chikkaballapura district,13199482,26798287983,2,2022,karnataka
davanagere district,28378650,46910152646,2,2022,karnataka
bagalkote district,12292030,21543677831,2,2022,karnataka
vijayapura district,15497828,29343153102,2,2022,karnataka
koppal district,10029526,17390091877,2,2022,karnataka
bidar district,15103994,27016319519,2,2022,karnataka
bengaluru rural district,29552291,45049848700,2,2022,karnataka
raichur district,13465552,27197767201,2,2022,karnataka
chamarajanagara district,4177168,8011329768,2,2022,karnataka
dakshina kannada district,26596843,43058171124,2,2022,karnataka
hassan district,15347412,29316180032,2,2022,karnataka
dharwad district,30334488,44220634323,2,2022,karnataka
shivamogga district,24024769,42192013839,2,2022,karnataka
udupi district,7786229,11968816665,2,2022,karnataka
gadag district,6295591,10441830809,2,2022,karnataka
mysuru district,40705541,62142656688,3,2022,karnataka
chitradurga district,10645515,18816797148,3,2022,karnataka
kalaburagi district,20345468,34468548525,3,2022,karnataka
ramanagara district,15252860,24917635086,3,2022,karnataka
mandya district,14529761,27652425871,3,2022,karnataka
kodagu district,3756864,6211450943,3,2022,karnataka
chikkamagaluru district,8118417,13904227857,3,2022,karnataka
haveri district,7691043,12602269794,3,2022,karnataka
ballari district,25020296,39977029010,3,2022,karnataka
belagavi district,30506760,47452586440,3,2022,karnataka
kolar district,19634287,34773465329,3,2022,karnataka
uttara kannada district,6851164,10582287507,3,2022,karnataka
tumakuru district,24310727,41225194543,3,2022,karnataka
yadgir district,5434554,10954971886,3,2022,karnataka
bengaluru urban district,738035161,9.30886E+11,3,2022,karnataka
chikkaballapura district,13185890,26027691612,3,2022,karnataka
davanagere district,16814000,26646939916,3,2022,karnataka
bagalkote district,12090911,19422333598,3,2022,karnataka
vijayapura district,15584088,26736978831,3,2022,karnataka
koppal district,9948188,15884067510,3,2022,karnataka
bidar district,15717179,25448600190,3,2022,karnataka
bengaluru rural district,29738665,43852997174,3,2022,karnataka
raichur district,13272269,24600810302,3,2022,karnataka
chamarajanagara district,4335006,7956137338,3,2022,karnataka
dakshina kannada district,17248777,25239674044,3,2022,karnataka
hassan district,15366670,27360185922,3,2022,karnataka
dharwad district,25927571,34230149717,3,2022,karnataka
shivamogga district,15974774,25663783170,3,2022,karnataka
udupi district,7695387,11043120656,3,2022,karnataka
gadag district,6023535,9236758197,3,2022,karnataka
mysuru district,44057659,67004180524,4,2022,karnataka
chitradurga district,11603531,20575182886,4,2022,karnataka
kalaburagi district,22515278,37601225203,4,2022,karnataka
ramanagara district,16729830,26462503794,4,2022,karnataka
mandya district,16082429,30249005907,4,2022,karnataka
kodagu district,4395090,7370333320,4,2022,karnataka
chikkamagaluru district,9547252,16304151825,4,2022,karnataka
haveri district,8622172,14092113266,4,2022,karnataka
ballari district,27273315,44205335947,4,2022,karnataka
belagavi district,36557938,56335376308,4,2022,karnataka
kolar district,20890491,35826431858,4,2022,karnataka
uttara kannada district,8700136,13625913467,4,2022,karnataka
tumakuru district,27089373,45262565516,4,2022,karnataka
yadgir district,6217448,12205110759,4,2022,karnataka
bengaluru urban district,876647100,1.09208E+12,4,2022,karnataka
chikkaballapura district,14245515,27341471912,4,2022,karnataka
davanagere district,16964566,27299396607,4,2022,karnataka
bagalkote district,13610551,21729430695,4,2022,karnataka
vijayapura district,17470241,29483315554,4,2022,karnataka
koppal district,11035753,18160316484,4,2022,karnataka
bidar district,17395190,28937118124,4,2022,karnataka
bengaluru rural district,32555311,46931010611,4,2022,karnataka
raichur district,14690606,26973026232,4,2022,karnataka
chamarajanagara district,5183720,9398487368,4,2022,karnataka
dakshina kannada district,20604812,30207470651,4,2022,karnataka
hassan district,17267008,30785005625,4,2022,karnataka
dharwad district,27717085,36289207503,4,2022,karnataka
shivamogga district,17761137,28561731845,4,2022,karnataka
udupi district,8818675,12891286925,4,2022,karnataka
gadag district,6661159,10329614181,4,2022,karnataka
thiruvananthapuram district,172079,275202215.6,1,2018,kerala
kasaragod district,37597,46522871.82,1,2018,kerala
malappuram district,239508,256416524,1,2018,kerala
pathanamthitta district,35435,44871379.63,1,2018,kerala
wayanad district,32702,42622425.25,1,2018,kerala
alappuzha district,74941,95014765.51,1,2018,kerala
kozhikode district,206971,264216575.6,1,2018,kerala
kollam district,76713,93495184.49,1,2018,kerala
thrissur district,148871,200502461.3,1,2018,kerala
palakkad district,119324,155278345.5,1,2018,kerala
kannur district,92260,112128543.1,1,2018,kerala
kottayam district,102446,132788590.2,1,2018,kerala
ernakulam district,390006,630357709.4,1,2018,kerala
idukki district,42527,53257161.57,1,2018,kerala
thiruvananthapuram district,241695,447463532.3,2,2018,kerala
kasaragod district,50723,79264188.98,2,2018,kerala
malappuram district,268993,394434596.4,2,2018,kerala
pathanamthitta district,50523,75627575.41,2,2018,kerala
wayanad district,43621,75694975.63,2,2018,kerala
alappuzha district,101141,157158524.7,2,2018,kerala
kozhikode district,262368,432276266.4,2,2018,kerala
kollam district,107011,158093455.4,2,2018,kerala
thrissur district,194698,323326151.6,2,2018,kerala
palakkad district,148865,247495543.9,2,2018,kerala
kannur district,123543,190249058.5,2,2018,kerala
kottayam district,132766,219583423.4,2,2018,kerala
ernakulam district,521535,992297917.7,2,2018,kerala
idukki district,60683,93958133.16,2,2018,kerala
thiruvananthapuram district,341861,663088952.8,3,2018,kerala
kasaragod district,69573,121876096.2,3,2018,kerala
malappuram district,323771,521343702.7,3,2018,kerala
pathanamthitta district,66341,108400526.6,3,2018,kerala
wayanad district,52579,96212039.37,3,2018,kerala
alappuzha district,129138,208917711.7,3,2018,kerala
kozhikode district,374581,602562108.7,3,2018,kerala
kollam district,154891,237302294.1,3,2018,kerala
thrissur district,265041,447258554.2,3,2018,kerala
palakkad district,201468,329702201.5,3,2018,kerala
kannur district,161613,256107072.9,3,2018,kerala
kottayam district,185591,294011177.4,3,2018,kerala
ernakulam district,731827,1317858232,3,2018,kerala
idukki district,76073,118384553.5,3,2018,kerala
thiruvananthapuram district,475377,937541020.9,4,2018,kerala
kasaragod district,99369,178991682.5,4,2018,kerala
malappuram district,445963,712275700.2,4,2018,kerala
pathanamthitta district,99883,188812344.2,4,2018,kerala
wayanad district,82834,162973755.9,4,2018,kerala
alappuzha district,180730,307021229.7,4,2018,kerala
kozhikode district,492826,852029000.9,4,2018,kerala
kollam district,201274,339663300.1,4,2018,kerala
thrissur district,369941,669618693.1,4,2018,kerala
palakkad district,278099,493228367.3,4,2018,kerala
kannur district,221021,387384391.8,4,2018,kerala
kottayam district,244161,436012749.5,4,2018,kerala
ernakulam district,1012043,1886966258,4,2018,kerala
idukki district,107133,194842742.8,4,2018,kerala
thiruvananthapuram district,736407,1242525638,1,2019,kerala
kasaragod district,139502,225830406.5,1,2019,kerala
malappuram district,695313,892807636.1,1,2019,kerala
pathanamthitta district,123465,215762682.8,1,2019,kerala
wayanad district,109869,207649993.7,1,2019,kerala
alappuzha district,252186,388624848,1,2019,kerala
kozhikode district,705959,1018056389,1,2019,kerala
kollam district,267030,424402104.4,1,2019,kerala
thrissur district,583045,940781808.8,1,2019,kerala
palakkad district,390957,618358114.4,1,2019,kerala
kannur district,309217,493947068.8,1,2019,kerala
kottayam district,348566,558480707.3,1,2019,kerala
ernakulam district,1657527,2766048427,1,2019,kerala
idukki district,149996,241755310.7,1,2019,kerala
thiruvananthapuram district,897152,1608596590,2,2019,kerala
kasaragod district,132477,245117661.4,2,2019,kerala
malappuram district,575048,950964374.1,2,2019,kerala
pathanamthitta district,121246,231047652.4,2,2019,kerala
wayanad district,117101,246051815.2,2,2019,kerala
alappuzha district,282582,473109181.6,2,2019,kerala
kozhikode district,540752,968227341.5,2,2019,kerala
kollam district,285888,508491310.9,2,2019,kerala
thrissur district,768852,1369632613,2,2019,kerala
palakkad district,358416,674063610.1,2,2019,kerala
kannur district,350753,624420173.5,2,2019,kerala
kottayam district,373169,682101021,2,2019,kerala
ernakulam district,2327469,4150046405,2,2019,kerala
idukki district,152921,299501812,2,2019,kerala
thiruvananthapuram district,1210326,2114421210,3,2019,kerala
kasaragod district,181343,308649475.9,3,2019,kerala
malappuram district,669092,1122314398,3,2019,kerala
pathanamthitta district,171939,288808708.8,3,2019,kerala
wayanad district,176001,316938080.3,3,2019,kerala
alappuzha district,412404,649647317.8,3,2019,kerala
kozhikode district,791143,1229904356,3,2019,kerala
kollam district,434861,713019785.4,3,2019,kerala
thrissur district,913742,1653044269,3,2019,kerala
palakkad district,468478,831397770.4,3,2019,kerala
kannur district,467512,801246829.2,3,2019,kerala
kottayam district,455029,868646787.5,3,2019,kerala
ernakulam district,2730518,5157574847,3,2019,kerala
idukki district,203708,374195886.7,3,2019,kerala
thiruvananthapuram district,1653618,2665386105,4,2019,kerala
kasaragod district,241911,416731460.5,4,2019,kerala
malappuram district,888327,1440292240,4,2019,kerala
pathanamthitta district,242926,415571876.5,4,2019,kerala
wayanad district,238665,420741703.5,4,2019,kerala
alappuzha district,581762,859960789.4,4,2019,kerala
kozhikode district,1048192,1646744140,4,2019,kerala
kollam district,625681,942036912.3,4,2019,kerala
thrissur district,1136317,2093913336,4,2019,kerala
palakkad district,607193,1069460193,4,2019,kerala
kannur district,616688,1017939386,4,2019,kerala
kottayam district,621352,1132028895,4,2019,kerala
ernakulam district,3714876,6519567751,4,2019,kerala
idukki district,281129,510951850.5,4,2019,kerala
thiruvananthapuram district,1957687,3050411161,1,2020,kerala
kasaragod district,301169,507073803.4,1,2020,kerala
malappuram district,1032834,1707013551,1,2020,kerala
pathanamthitta district,271212,438745625.6,1,2020,kerala
wayanad district,289132,493187938.7,1,2020,kerala
alappuzha district,655979,939182379.1,1,2020,kerala
kozhikode district,1568774,2563142659,1,2020,kerala
kollam district,773621,1132631398,1,2020,kerala
thrissur district,1370029,2546348595,1,2020,kerala
palakkad district,715756,1196433777,1,2020,kerala
kannur district,703334,1073577709,1,2020,kerala
kottayam district,752571,1330711261,1,2020,kerala
ernakulam district,5025201,8938376107,1,2020,kerala
idukki district,316223,534248866.5,1,2020,kerala
thiruvananthapuram district,1742767,2599631081,2,2020,kerala
kasaragod district,446953,591069175.9,2,2020,kerala
malappuram district,1257378,1803201660,2,2020,kerala
pathanamthitta district,341421,451078696.2,2,2020,kerala
wayanad district,382374,519782233.4,2,2020,kerala
alappuzha district,755556,942056560.3,2,2020,kerala
kozhikode district,1566564,2243504597,2,2020,kerala
kollam district,893973,1193885128,2,2020,kerala
thrissur district,1351787,2341058567,2,2020,kerala
palakkad district,893115,1291966408,2,2020,kerala
kannur district,998243,1189750957,2,2020,kerala
kottayam district,761782,1204970922,2,2020,kerala
ernakulam district,4530511,9056027224,2,2020,kerala
idukki district,365543,466095268.5,2,2020,kerala
thiruvananthapuram district,2081035,3493171878,3,2020,kerala
kasaragod district,596614,1166012174,3,2020,kerala
malappuram district,1898768,3664780939,3,2020,kerala
pathanamthitta district,489737,845216797.9,3,2020,kerala
wayanad district,513419,887306330.3,3,2020,kerala
alappuzha district,1034921,1556781058,3,2020,kerala
kozhikode district,2170142,3948266708,3,2020,kerala
kollam district,1338722,2289595647,3,2020,kerala
thrissur district,1849073,3785405397,3,2020,kerala
palakkad district,1116331,2004283359,3,2020,kerala
kannur district,1278504,2162452906,3,2020,kerala
kottayam district,1001447,1888052940,3,2020,kerala
ernakulam district,5931363,11683184897,3,2020,kerala
idukki district,458604,789639621.9,3,2020,kerala
thiruvananthapuram district,3376010,5574649734,4,2020,kerala
kasaragod district,890448,1587677250,4,2020,kerala
malappuram district,2988328,5198015036,4,2020,kerala
pathanamthitta district,749642,1316217609,4,2020,kerala
wayanad district,901483,1531199014,4,2020,kerala
alappuzha district,1562242,2495781952,4,2020,kerala
kozhikode district,3436777,5728144599,4,2020,kerala
kollam district,1917078,3346551214,4,2020,kerala
thrissur district,2628494,5026840469,4,2020,kerala
palakkad district,1675633,3102276858,4,2020,kerala
kannur district,1966681,3368866047,4,2020,kerala
kottayam district,1486474,2688432125,4,2020,kerala
ernakulam district,8950159,14375193241,4,2020,kerala
idukki district,758738,1415411498,4,2020,kerala
thiruvananthapuram district,3878020,6358411607,1,2021,kerala
kasaragod district,916836,1740402214,1,2021,kerala
malappuram district,4147591,6618671647,1,2021,kerala
pathanamthitta district,860555,1542488749,1,2021,kerala
wayanad district,991978,1807265259,1,2021,kerala
alappuzha district,1681817,2825682877,1,2021,kerala
kozhikode district,4287518,6990433691,1,2021,kerala
kollam district,2127176,3821625432,1,2021,kerala
thrissur district,3475629,6417811870,1,2021,kerala
palakkad district,1892633,3654239470,1,2021,kerala
kannur district,2044936,3708267085,1,2021,kerala
kottayam district,1808155,3236942551,1,2021,kerala
ernakulam district,13390058,18947291978,1,2021,kerala
idukki district,813440,1591435733,1,2021,kerala
thiruvananthapuram district,4154572,6743334746,2,2021,kerala
kasaragod district,1144742,2009156405,2,2021,kerala
malappuram district,4693842,7117221910,2,2021,kerala
pathanamthitta district,1063832,1781057248,2,2021,kerala
wayanad district,1156091,1909814954,2,2021,kerala
alappuzha district,1921008,3048000027,2,2021,kerala
kozhikode district,4726028,7499008472,2,2021,kerala
kollam district,2534369,4330614971,2,2021,kerala
thrissur district,3881737,6752401586,2,2021,kerala
palakkad district,2232317,3954891661,2,2021,kerala
kannur district,2477621,4226966853,2,2021,kerala
kottayam district,2131122,3543155911,2,2021,kerala
ernakulam district,14177054,19704497753,2,2021,kerala
idukki district,896698,1606683938,2,2021,kerala
thiruvananthapuram district,5427449,9208113082,3,2021,kerala
kasaragod district,1491783,2655059897,3,2021,kerala
malappuram district,6691321,10228243297,3,2021,kerala
pathanamthitta district,1284731,2343169623,3,2021,kerala
wayanad district,1598807,2703543869,3,2021,kerala
alappuzha district,2505822,4227398745,3,2021,kerala
kozhikode district,6483184,10352351671,3,2021,kerala
kollam district,3321904,6085539501,3,2021,kerala
thrissur district,5059971,9074305922,3,2021,kerala
palakkad district,2841134,5273353074,3,2021,kerala
kannur district,3200023,5705948607,3,2021,kerala
kottayam district,2719376,4787914329,3,2021,kerala
ernakulam district,19207421,26757448740,3,2021,kerala
idukki district,1195340,2283771416,3,2021,kerala
thiruvananthapuram district,6802679,10882144450,4,2021,kerala
kasaragod district,1952678,3359697890,4,2021,kerala
malappuram district,8689226,12215744695,4,2021,kerala
pathanamthitta district,1682712,2933380204,4,2021,kerala
wayanad district,2239644,3471143216,4,2021,kerala
alappuzha district,3177335,5086522404,4,2021,kerala
kozhikode district,8306264,12437421004,4,2021,kerala
kollam district,4107417,7277474405,4,2021,kerala
thrissur district,6471411,10748756930,4,2021,kerala
palakkad district,3813936,6473706355,4,2021,kerala
kannur district,4171542,6945109953,4,2021,kerala
kottayam district,3504049,5843770526,4,2021,kerala
ernakulam district,25306923,32778937436,4,2021,kerala
idukki district,1597925,2888327474,4,2021,kerala
thiruvananthapuram district,7747326,12106537679,1,2022,kerala
kasaragod district,2282517,3923072928,1,2022,kerala
malappuram district,10270093,13968886083,1,2022,kerala
pathanamthitta district,1963871,3361963455,1,2022,kerala
wayanad district,2620413,4017486263,1,2022,kerala
alappuzha district,3687088,5795828219,1,2022,kerala
kozhikode district,9526680,13732159883,1,2022,kerala
kollam district,4851496,8628660587,1,2022,kerala
thrissur district,7612460,12265599939,1,2022,kerala
palakkad district,4504996,7445457073,1,2022,kerala
kannur district,4837076,7882293599,1,2022,kerala
kottayam district,4029330,6642441538,1,2022,kerala
ernakulam district,29451475,36915318572,1,2022,kerala
idukki district,1896144,3303236646,1,2022,kerala
thiruvananthapuram district,8942858,13552082447,2,2022,kerala
kasaragod district,2578012,4383382390,2,2022,kerala
malappuram district,11218062,15235042407,2,2022,kerala
pathanamthitta district,2074509,3519862949,2,2022,kerala
wayanad district,2984234,4493999118,2,2022,kerala
alappuzha district,4151240,6503782725,2,2022,kerala
kozhikode district,10478852,15005755668,2,2022,kerala
kollam district,5799455,10109273069,2,2022,kerala
thrissur district,8767715,13850991973,2,2022,kerala
palakkad district,4998295,8233196636,2,2022,kerala
kannur district,5415196,8864093943,2,2022,kerala
kottayam district,4440370,7095672952,2,2022,kerala
ernakulam district,32257485,40076176148,2,2022,kerala
idukki district,2259039,3773017124,2,2022,kerala
thiruvananthapuram district,11886964,16637313651,3,2022,kerala
kasaragod district,2816269,4420477439,3,2022,kerala
malappuram district,11727280,15435401578,3,2022,kerala
pathanamthitta district,2373258,3615273641,3,2022,kerala
wayanad district,3269014,4610462828,3,2022,kerala
alappuzha district,5705022,7973274497,3,2022,kerala
kozhikode district,10298519,13830874892,3,2022,kerala
kollam district,7100622,10992059342,3,2022,kerala
thrissur district,9037575,12908229885,3,2022,kerala
palakkad district,6174837,9220755481,3,2022,kerala
kannur district,5631041,8674487770,3,2022,kerala
kottayam district,5918541,8495120284,3,2022,kerala
ernakulam district,35009862,41683362156,3,2022,kerala
idukki district,2414100,3763325871,3,2022,kerala
thiruvananthapuram district,12176949,16386992625,4,2022,kerala
kasaragod district,3262433,4974165653,4,2022,kerala
malappuram district,12667960,16133583077,4,2022,kerala
pathanamthitta district,2676852,4082745438,4,2022,kerala
wayanad district,3654113,5018793989,4,2022,kerala
alappuzha district,6094707,8414450112,4,2022,kerala
kozhikode district,11205522,14187898845,4,2022,kerala
kollam district,7022669,10513248743,4,2022,kerala
thrissur district,12802574,16539944197,4,2022,kerala
palakkad district,6558445,9566627509,4,2022,kerala
kannur district,6407573,9291348716,4,2022,kerala
kottayam district,6551967,9198738855,4,2022,kerala
ernakulam district,39069167,44933855504,4,2022,kerala
idukki district,2809537,4317415339,4,2022,kerala
kargil district,1244,3430931.079,1,2018,ladakh
leh ladakh district,4845,9101926.692,1,2018,ladakh
kargil district,4041,14170742.18,2,2018,ladakh
leh ladakh district,10969,33164160.35,2,2018,ladakh
kargil district,6149,20173133.98,3,2018,ladakh
leh ladakh district,18715,63917843.17,3,2018,ladakh
kargil district,8373,31643842.13,4,2018,ladakh
leh ladakh district,26838,103879000.4,4,2018,ladakh
kargil district,9825,34328560.5,1,2019,ladakh
leh ladakh district,36320,118531360.4,1,2019,ladakh
kargil district,15289,57479644.8,2,2019,ladakh
leh ladakh district,53483,201775862.2,2,2019,ladakh
kargil district,13855,47841053.99,3,2019,ladakh
leh ladakh district,78541,283288473.2,3,2019,ladakh
kargil district,5302,22099751.44,4,2019,ladakh
leh ladakh district,79404,302589608.6,4,2019,ladakh
kargil district,24169,68749860.74,1,2020,ladakh
leh ladakh district,92250,308889816.7,1,2020,ladakh
kargil district,38403,125414514.1,2,2020,ladakh
leh ladakh district,116607,398378484.5,2,2020,ladakh
kargil district,53708,183140893.8,3,2020,ladakh
leh ladakh district,174514,652346606.2,3,2020,ladakh
kargil district,79680,242682676.6,4,2020,ladakh
leh ladakh district,252454,869280793.9,4,2020,ladakh
kargil district,58756,181498257.7,1,2021,ladakh
leh ladakh district,216659,801921555.6,1,2021,ladakh
kargil district,91914,284985335.7,2,2021,ladakh
leh ladakh district,307802,1142273760,2,2021,ladakh
kargil district,128949,444521407.4,3,2021,ladakh
leh ladakh district,462038,1769463337,3,2021,ladakh
kargil district,134957,416648293.7,4,2021,ladakh
leh ladakh district,495230,1736886845,4,2021,ladakh
kargil district,129349,371130651.8,1,2022,ladakh
leh ladakh district,500666,1653910267,1,2022,ladakh
kargil district,229338,644363529.3,2,2022,ladakh
leh ladakh district,888735,2898954649,2,2022,ladakh
kargil district,244513,647171126.8,3,2022,ladakh
leh ladakh district,946345,2958028224,3,2022,ladakh
kargil district,233208,548410667.5,4,2022,ladakh
leh ladakh district,850164,2346066905,4,2022,ladakh
lakshadweep district,778,1928611.181,1,2018,lakshadweep
lakshadweep district,2132,6187809.539,2,2018,lakshadweep
lakshadweep district,1703,4339032.312,3,2018,lakshadweep
lakshadweep district,1642,4463213.698,4,2018,lakshadweep
lakshadweep district,2481,8786130.479,1,2019,lakshadweep
lakshadweep district,2926,9242524.137,2,2019,lakshadweep
lakshadweep district,3104,9651761.464,3,2019,lakshadweep
lakshadweep district,3765,11269913.4,4,2019,lakshadweep
lakshadweep district,5151,13502368.57,1,2020,lakshadweep
lakshadweep district,7220,16942922.09,2,2020,lakshadweep
lakshadweep district,8589,21306833.31,3,2020,lakshadweep
lakshadweep district,11650,30111317.92,4,2020,lakshadweep
